Bedroom,Bathroom,Landsize,Price
3,2,303,840000
2,1,120,1275000
2,1,159,1455000
3,2,853,2000000
3,2,208,1110000
3,2,352,520000
5,3,592,1085000
3,1,533,781000
2,1,0,599000
3,1,0,455000
4,3,753,2650000
2,1,583,995000
3,1,593,850000
3,1,0,750000
3,2,244,1819000
2,1,659,2100000
4,2,715,1800000
2,1,208,1255000
3,2,260,1315000
3,2,778,1500000
4,4,1135,3230000
2,1,253,1080000
2,1,202,636000
2,1,599,1275000
3,1,348,875000
3,2,362,895000
2,1,768,1410000
3,1,287,760000
2,2,176,825000
4,2,697,1620000
3,2,700,870000
2,1,566,645000
3,2,663,1550000
3,1,366,1635000
4,2,682,1940000
4,2,617,1850000
3,1,329,930000
2,1,0,428000
2,1,225,1026000
2,1,0,521500
3,1,385,851000
4,1,717,1300000
3,2,562,1110000
4,2,556,1235000
4,3,661,1590000
4,2,652,2650000
3,1,389,1615000
4,3,934,3225000
4,2,687,2950000
3,1,314,1330000
2,2,133,795000
2,1,0,722500
3,1,513,1365000
3,2,692,1750000
3,2,357,1577500
3,2,182,752000
3,2,187,1270000
2,1,371,850000
2,1,286,784000
2,1,115,750000
2,1,178,890000
2,1,0,1260000
2,1,2886,855000
4,4,1157,1924500
2,1,65,492500
2,1,239,900000
1,1,0,520000
3,2,1170,1350000
3,2,684,1425000
2,1,263,660000
2,1,0,550000
2,1,0,396000
3,2,327,1250000
2,1,128,1000000
3,2,0,1252000
2,2,4332,700000
2,1,104,860000
2,1,107,870000
3,1,152,1116000
4,2,266,1450000
2,3,2778,930000
2,1,168,865500
3,1,259,585000
1,1,0,85000
3,2,680,1735000
3,1,653,1699000
4,3,856,3400000
4,3,919,3730000
3,1,696,610000
3,2,608,631000
3,2,149,532000
3,1,597,605000
3,1,724,685500
2,1,228,895000
2,1,0,587000
3,3,701,2800000
2,1,832,720000
4,3,928,3250000
4,2,317,1650000
